Timestamp start: 1715691894231
Timestamp end: 1715692694752

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      402.7   247.8   160.7   208.8   224.2   364.5   450.0   501.0   536.9   576.1   620.8   680.9   843.7  2098.0  8248.3  36647.4    36665
read      382.1   214.3   160.7   208.6   223.9   343.4   415.7   459.3   491.7   530.7   580.1   655.7   859.9  1931.8  7658.8  85459.8    85269
read      401.5   236.6   160.7   209.3   224.7   363.9   453.7   504.3   538.4   575.2   616.9   674.8   821.7  1770.4  9915.7  31553.4    31525
read      393.0   214.6   160.7   209.2   224.2   353.7   435.3   482.3   516.7   556.3   606.2   678.7   861.8  2014.1  7864.3  61676.4    61798
read      441.5   380.1   160.7   221.5   240.4   400.1   472.3   513.3   545.6   584.6   632.3   713.4  1095.0  4388.9 11896.4  12283.0    12253
read      435.7   317.6   148.8   210.9   226.9   378.0   483.4   534.6   569.5   611.6   679.5   857.7  1173.6  2248.1  9591.7  25741.4    25710
read      401.0   317.6   148.8   209.9   225.4   350.6   427.3   472.5   506.6   547.2   602.3   691.2  1145.4  3300.5  8436.8  79887.0    79937
read      463.3   828.0   173.5   228.7   249.2   382.7   439.7   469.6   491.2   514.8   546.4   610.0  2612.6 11357.3 31728.7   7302.0     7271
read      514.1   523.2   160.7   214.1   232.6   390.5   471.4   525.2   571.3   637.7   794.0  1605.4  2008.8  3912.7 17780.4  85769.0    85861
read      366.3   252.0   148.8   205.7   220.3   330.8   397.1   436.0   465.5   500.7   545.3   615.6   778.3  2025.7  8773.2  91782.4    91467
read      371.7   252.8   148.8   205.6   219.7   334.2   405.3   446.5   476.5   513.0   561.1   629.9   797.2  2326.4 10455.5  72126.4    72217
read      387.0   345.6   160.7   205.4   219.7   338.6   425.2   474.5   508.2   543.7   582.4   632.3   789.2  4603.8 11514.9  31030.8    31080
read      374.2   303.6   160.7   205.6   219.8   334.1   404.4   446.4   476.2   512.9   560.5   630.1   802.3  2848.6 10636.2  77034.8    76878
read      374.1   244.7   148.8   205.5   220.1   335.7   405.8   448.0   478.7   516.4   564.5   636.4   818.6  2080.7  7651.7  84339.8    84584
read      453.1   767.8   160.7   220.8   238.6   389.1   458.6   499.0   529.6   565.7   612.1   683.5  1536.0  8007.7 35550.5  12490.0    12492
read      404.3   358.5   148.8   206.8   221.4   346.4   422.2   467.8   504.0   548.0   603.7   692.6  1506.0  3274.5  9916.1  57098.2    57106
read      371.1   255.4   148.8   207.5   222.7   336.8   401.0   439.5   467.9   502.0   545.7   616.0   786.6  2789.0  9052.7  96597.8    96245
read      403.5   570.6   160.7   228.6   248.0   356.2   401.1   427.1   446.2   468.7   498.1   542.4  1455.8  6163.0 30607.4   6773.8     6791
read      465.5   398.4   148.8   213.0   230.8   375.3   456.0   506.1   545.4   596.8   677.9  1189.2  1876.9  3378.1  9657.5  90658.8    90728
read      408.0   839.7   173.5   233.2   252.9   341.4   379.2   400.4   416.8   434.8   460.8   504.2  2239.4  9604.0 33763.7   5141.8     5151
read      483.3   456.0   148.8   211.6   228.6   375.7   453.9   501.4   541.4   596.4   699.3  1523.1  1987.9  3696.0 13035.3  82761.6    82969
read      387.1   320.5   148.8   205.5   220.2   344.8   422.9   470.5   507.7   548.7   595.2   656.4   808.0  2546.6 11221.0  42665.8    42635
read      376.0   346.6   160.7   208.5   224.2   339.2   402.3   441.0   469.5   504.5   549.2   623.0   820.0  2608.2 14748.5  99403.2    99337
read      364.8   192.0   148.8   206.7   221.6   332.9   397.0   435.2   464.0   498.7   542.3   610.9   763.8  1825.6  5309.7  94956.8    95192
read      381.4   324.8   148.8   206.3   220.7   339.3   416.0   459.3   491.8   530.4   578.6   646.4   813.7  2822.7 11557.3  69047.8    69200
read      385.0   250.1   148.8   205.2   219.8   347.4   422.9   469.2   504.7   546.2   594.6   658.4   798.3  2359.8  8836.9  49469.6    49459
read      382.1   236.4   148.8   203.0   217.0   339.0   432.0   483.6   516.1   549.2   585.5   632.9   772.9  2519.2  9218.6  29128.0    29055
read      375.4   270.0   148.8   204.1   217.8   337.2   410.5   453.3   485.7   525.1   574.5   640.1   791.4  1918.1 10182.1  64211.6    64324
read      429.7   965.9   173.5   226.8   247.0   349.5   390.2   412.0   427.3   445.2   467.7   508.7  2575.7 13678.7 32065.4   5714.0     5705
read      408.6   311.8   148.8   205.8   220.9   345.5   420.7   464.5   497.9   539.2   596.1   708.3  1728.8  2927.4  8013.2  84597.0    84816
read      481.9   622.3   160.7   205.8   221.9   405.5   515.4   574.2   621.5   687.3   775.0   903.1  1276.3  9834.3 31025.4  23687.0    23714
read      437.6   386.0   148.8   206.4   221.6   353.3   430.9   475.1   510.6   556.9   625.9   894.7  1881.1  3118.8  9973.4  73990.0    74116
